unique_id,ds,cutoff,NBEATS,NHITS,y
hotel_0,2023-01-14,2023-01-13,0.72235566,0.76071954,0.9382716049382716
hotel_0,2023-01-15,2023-01-13,0.4257215,0.53491914,0.6049382716049383
hotel_0,2023-01-16,2023-01-13,0.48075926,0.5113182,0.4691358024691358
hotel_0,2023-01-17,2023-01-13,0.5528058,0.5552643,0.5679012345679012
hotel_0,2023-01-18,2023-01-13,0.49238804,0.561663,0.6666666666666666
hotel_0,2023-01-19,2023-01-13,0.5852263,0.6281735,0.6419753086419753
hotel_0,2023-01-20,2023-01-13,0.7275622,0.77437186,0.7530864197530864
hotel_0,2023-01-21,2023-01-13,0.7119008,0.7252013,0.7777777777777778
hotel_0,2023-01-22,2023-01-13,0.4349329,0.5269716,0.654320987654321
hotel_0,2023-01-23,2023-01-13,0.4672186,0.51141983,0.8024691358024691
hotel_0,2023-01-24,2023-01-13,0.50055766,0.56377846,0.8641975308641975
hotel_0,2023-01-25,2023-01-13,0.49761772,0.5683593,0.9506172839506173
hotel_0,2023-01-26,2023-01-13,0.57399404,0.6477933,0.8765432098765432
hotel_0,2023-01-27,2023-01-13,0.70499986,0.7650793,0.9135802469135802
hotel_0,2023-01-28,2023-01-13,0.7022498,0.6904787,0.8271604938271605
hotel_0,2023-01-29,2023-01-13,0.45055118,0.49709693,0.5432098765432098
hotel_0,2023-01-30,2023-01-13,0.47521743,0.49920225,0.9876543209876543
hotel_0,2023-01-31,2023-01-13,0.5374758,0.5463338,0.9876543209876543
hotel_0,2023-02-01,2023-01-13,0.51290214,0.55677855,0.9135802469135802
hotel_0,2023-02-02,2023-01-13,0.60011935,0.63158715,0.9382716049382716
hotel_0,2023-02-03,2023-01-13,0.74419826,0.77710855,0.9382716049382716
hotel_0,2023-02-04,2023-01-13,0.69048595,0.7195791,0.9876543209876543
hotel_0,2023-02-05,2023-01-13,0.43772513,0.53060246,0.6049382716049383
hotel_0,2023-02-06,2023-01-13,0.48882163,0.50845367,0.9135802469135802
hotel_0,2023-02-07,2023-01-13,0.5390671,0.5511099,0.7160493827160493
hotel_0,2023-02-08,2023-01-13,0.5245906,0.5747689,0.6666666666666666
hotel_0,2023-02-09,2023-01-13,0.60575795,0.6211342,0.8395061728395061
hotel_0,2023-02-10,2023-01-13,0.7088055,0.76396215,0.691358024691358
hotel_0,2023-02-11,2023-02-10,0.7682855,0.752386,0.8271604938271605
hotel_0,2023-02-12,2023-02-10,0.62085813,0.6947192,0.5185185185185185
hotel_0,2023-02-13,2023-02-10,0.7212843,0.67421657,0.6296296296296297
hotel_0,2023-02-14,2023-02-10,0.8218851,0.7181433,0.6296296296296297
hotel_0,2023-02-15,2023-02-10,0.7800773,0.79998356,0.8888888888888888
hotel_0,2023-02-16,2023-02-10,0.83086854,0.83213013,0.9876543209876543
hotel_0,2023-02-17,2023-02-10,0.89772874,0.82251483,0.9876543209876543
hotel_0,2023-02-18,2023-02-10,0.9042961,0.81351817,1.0
hotel_0,2023-02-19,2023-02-10,0.69704735,0.74083,0.9876543209876543
hotel_0,2023-02-20,2023-02-10,0.7516457,0.7135563,0.8641975308641975
hotel_0,2023-02-21,2023-02-10,0.84962225,0.7587134,0.9876543209876543
hotel_0,2023-02-22,2023-02-10,0.8295858,0.80666363,0.9876543209876543
hotel_0,2023-02-23,2023-02-10,0.85491836,0.8231514,0.9876543209876543
hotel_0,2023-02-24,2023-02-10,0.8880251,0.81831515,0.9876543209876543
hotel_0,2023-02-25,2023-02-10,0.90724325,0.8297339,0.9876543209876543
hotel_0,2023-02-26,2023-02-10,0.67360336,0.74901474,0.7654320987654321
hotel_0,2023-02-27,2023-02-10,0.7810987,0.70777404,0.6666666666666666
hotel_0,2023-02-28,2023-02-10,0.823201,0.73372847,0.7160493827160493
hotel_0,2023-03-01,2023-02-10,0.8292858,0.8050895,0.8395061728395061
hotel_0,2023-03-02,2023-02-10,0.8182032,0.8330872,0.8271604938271605
hotel_0,2023-03-03,2023-02-10,0.90859914,0.830199,0.9876543209876543
hotel_0,2023-03-04,2023-02-10,0.88796335,0.82045513,0.9753086419753086
hotel_0,2023-03-05,2023-02-10,0.66684306,0.7513889,0.8148148148148148
hotel_0,2023-03-06,2023-02-10,0.7324558,0.716253,0.7777777777777778
hotel_0,2023-03-07,2023-02-10,0.87446946,0.7382364,0.9629629629629629
hotel_0,2023-03-08,2023-02-10,0.80340415,0.7896386,0.9876543209876543
hotel_0,2023-03-09,2023-02-10,0.8493236,0.81932276,0.8024691358024691
hotel_0,2023-03-10,2023-02-10,0.8744582,0.8164173,0.9876543209876543
hotel_0,2023-03-11,2023-03-10,0.9902935,0.9695581,0.9876543209876543
hotel_0,2023-03-12,2023-03-10,0.84028095,0.8379944,0.8518518518518519
hotel_0,2023-03-13,2023-03-10,0.87997615,0.83652526,0.9629629629629629
hotel_0,2023-03-14,2023-03-10,0.93724966,0.89213467,0.9382716049382716
hotel_0,2023-03-15,2023-03-10,0.93973833,0.933867,0.9876543209876543
hotel_0,2023-03-16,2023-03-10,0.9568495,0.9536242,0.9876543209876543
hotel_0,2023-03-17,2023-03-10,0.98766303,0.9891577,0.9876543209876543
hotel_0,2023-03-18,2023-03-10,0.98235834,0.94352376,0.8765432098765432
hotel_0,2023-03-19,2023-03-10,0.8360119,0.8225567,0.3333333333333333
hotel_0,2023-03-20,2023-03-10,0.8537417,0.8235872,0.7407407407407407
hotel_0,2023-03-21,2023-03-10,0.9011477,0.89222825,0.8395061728395061
hotel_0,2023-03-22,2023-03-10,0.95700437,0.92303205,0.8888888888888888
hotel_0,2023-03-23,2023-03-10,0.94417965,0.9435807,0.8641975308641975
hotel_0,2023-03-24,2023-03-10,0.98644125,0.9882446,0.9629629629629629
hotel_0,2023-03-25,2023-03-10,0.99322367,0.93167365,1.0
hotel_0,2023-03-26,2023-03-10,0.8362914,0.81195605,0.7407407407407407
hotel_0,2023-03-27,2023-03-10,0.86143655,0.8118898,0.6666666666666666
hotel_0,2023-03-28,2023-03-10,0.8945515,0.8705679,0.7777777777777778
hotel_0,2023-03-29,2023-03-10,0.91967404,0.9205866,0.7777777777777778
hotel_0,2023-03-30,2023-03-10,0.94450605,0.94092935,0.9135802469135802
hotel_0,2023-03-31,2023-03-10,0.98481035,0.9865583,0.9876543209876543
hotel_0,2023-04-01,2023-03-10,0.99336594,0.94936496,0.9876543209876543
hotel_0,2023-04-02,2023-03-10,0.83875084,0.826453,0.9753086419753086
hotel_0,2023-04-03,2023-03-10,0.86964464,0.8288545,0.9876543209876543
hotel_0,2023-04-04,2023-03-10,0.9153295,0.8761427,0.9876543209876543
hotel_0,2023-04-05,2023-03-10,0.95359993,0.91587615,0.9876543209876543
hotel_0,2023-04-06,2023-03-10,0.94904757,0.94275314,0.9876543209876543
hotel_0,2023-04-07,2023-03-10,0.97497976,0.9860104,0.9629629629629629
hotel_0,2023-04-08,2023-04-07,0.9624033,0.95919746,0.5308641975308642
hotel_0,2023-04-09,2023-04-07,0.8281584,0.8673236,0.3333333333333333
hotel_0,2023-04-10,2023-04-07,0.86327755,0.85243464,0.4074074074074074
hotel_0,2023-04-11,2023-04-07,0.9490244,0.8970568,0.5061728395061729
hotel_0,2023-04-12,2023-04-07,0.9217681,0.96619,0.4444444444444444
hotel_0,2023-04-13,2023-04-07,0.93613994,0.97991604,0.4567901234567901
hotel_0,2023-04-14,2023-04-07,0.9811341,0.9739505,0.7654320987654321
hotel_0,2023-04-15,2023-04-07,0.9758159,0.9455366,0.7654320987654321
hotel_0,2023-04-16,2023-04-07,0.81991756,0.8548458,0.4074074074074074
hotel_0,2023-04-17,2023-04-07,0.8502948,0.8405645,0.35802469135802467
hotel_0,2023-04-18,2023-04-07,0.91843826,0.9033176,0.7160493827160493
hotel_0,2023-04-19,2023-04-07,0.9263812,0.96131593,0.6172839506172839
hotel_0,2023-04-20,2023-04-07,0.9364643,0.9706303,0.7407407407407407
hotel_0,2023-04-21,2023-04-07,0.99578017,0.97520566,0.7283950617283951
hotel_0,2023-04-22,2023-04-07,0.9791907,0.94245136,0.9629629629629629
hotel_0,2023-04-23,2023-04-07,0.8280282,0.843025,0.5185185185185185
hotel_0,2023-04-24,2023-04-07,0.86189705,0.8295299,0.5925925925925926
hotel_0,2023-04-25,2023-04-07,0.90148884,0.8860086,0.8148148148148148
hotel_0,2023-04-26,2023-04-07,0.9413992,0.9566442,0.5432098765432098
hotel_0,2023-04-27,2023-04-07,0.9320202,0.97246194,0.7407407407407407
hotel_0,2023-04-28,2023-04-07,0.9842409,0.97888654,0.8765432098765432
hotel_0,2023-04-29,2023-04-07,0.9796414,0.949646,0.7160493827160493
hotel_0,2023-04-30,2023-04-07,0.842733,0.8526155,0.5185185185185185
hotel_0,2023-05-01,2023-04-07,0.8696896,0.8433296,0.691358024691358
hotel_0,2023-05-02,2023-04-07,0.9218644,0.887729,0.7160493827160493
hotel_0,2023-05-03,2023-04-07,0.92433506,0.9465679,0.7777777777777778
hotel_0,2023-05-04,2023-04-07,0.94051003,0.9711903,0.7160493827160493
