unique_id,cutoff,metric,LGBMRegressor
hotel_0,2023-01-13,bias,-0.268596495189133
hotel_105,2023-01-13,bias,0.06568118039078251
hotel_112,2023-01-13,bias,-0.24941279506590316
hotel_126,2023-01-13,bias,0.06567151377767393
hotel_133,2023-01-13,bias,-0.18430999169374135
hotel_14,2023-01-13,bias,-0.09889039126815237
hotel_21,2023-01-13,bias,-0.13034469250650751
hotel_28,2023-01-13,bias,0.0026708810077277025
hotel_35,2023-01-13,bias,0.003510068624252579
hotel_42,2023-01-13,bias,0.10348857252532716
hotel_49,2023-01-13,bias,-0.043848755563158856
hotel_56,2023-01-13,bias,-0.0368923471396904
hotel_63,2023-01-13,bias,-0.07458526290810176
hotel_7,2023-01-13,bias,0.07887685458375146
hotel_70,2023-01-13,bias,-0.009097844654538239
hotel_77,2023-01-13,bias,0.0026708810077277025
hotel_84,2023-01-13,bias,0.07791080335940745
hotel_91,2023-01-13,bias,-0.10316460171199836
hotel_98,2023-01-13,bias,0.117585720596326
hotel_0,2023-02-10,bias,-0.060173856392870095
hotel_105,2023-02-10,bias,0.03754627081931973
hotel_112,2023-02-10,bias,-0.006944433230563394
hotel_126,2023-02-10,bias,-0.07131181756007736
hotel_133,2023-02-10,bias,0.04141641276412263
hotel_14,2023-02-10,bias,-0.018896899785816025
hotel_21,2023-02-10,bias,-0.021925140637725216
hotel_28,2023-02-10,bias,0.010160681455824898
hotel_35,2023-02-10,bias,-0.04361048687678166
hotel_42,2023-02-10,bias,-0.009750659618623607
hotel_49,2023-02-10,bias,0.11407281849787805
hotel_56,2023-02-10,bias,-0.02069884870086086
hotel_63,2023-02-10,bias,0.036903917340681096
hotel_7,2023-02-10,bias,0.02765709702971755
hotel_70,2023-02-10,bias,0.06733627189306449
hotel_77,2023-02-10,bias,0.010160681455824898
hotel_84,2023-02-10,bias,-0.10105251006133407
hotel_91,2023-02-10,bias,0.024832389817639466
hotel_98,2023-02-10,bias,-0.21456514926766362
hotel_0,2023-03-10,bias,0.00539597549836079
hotel_105,2023-03-10,bias,-0.028609627993991756
hotel_112,2023-03-10,bias,-0.021998871791124214
hotel_126,2023-03-10,bias,-0.06642055124542766
hotel_133,2023-03-10,bias,-0.1481980291833763
hotel_14,2023-03-10,bias,0.04634259730003303
hotel_21,2023-03-10,bias,-0.03165502825984226
hotel_28,2023-03-10,bias,0.002899498669588678
hotel_35,2023-03-10,bias,0.03726661320721225
hotel_42,2023-03-10,bias,0.07405927713439235
hotel_49,2023-03-10,bias,-0.021871415675387786
hotel_56,2023-03-10,bias,-0.028759090545529626
hotel_63,2023-03-10,bias,-0.06197597294896782
hotel_7,2023-03-10,bias,0.23275195375937138
hotel_70,2023-03-10,bias,0.03279970492987263
hotel_77,2023-03-10,bias,0.003792355812445821
hotel_84,2023-03-10,bias,-0.016248033741880552
hotel_91,2023-03-10,bias,-0.03319516733280353
hotel_98,2023-03-10,bias,0.14072090924937533
hotel_0,2023-04-07,bias,0.26031741780436174
hotel_105,2023-04-07,bias,-0.011852610337621016
hotel_112,2023-04-07,bias,-0.043416399792248796
hotel_126,2023-04-07,bias,-0.007660246498732061
hotel_133,2023-04-07,bias,0.04956320057391071
hotel_14,2023-04-07,bias,-0.029757786945139086
hotel_21,2023-04-07,bias,-0.028817834045426295
hotel_28,2023-04-07,bias,0.0027780448943767358
hotel_35,2023-04-07,bias,-0.044312750677218855
hotel_42,2023-04-07,bias,-0.0388075708693954
hotel_49,2023-04-07,bias,0.08052489453267134
hotel_56,2023-04-07,bias,-0.0004321078701973814
hotel_63,2023-04-07,bias,0.09254755886383595
hotel_7,2023-04-07,bias,-0.04396044612071464
hotel_70,2023-04-07,bias,0.05707916758845414
hotel_77,2023-04-07,bias,0.0027780448943767358
hotel_84,2023-04-07,bias,0.017427587458253724
hotel_91,2023-04-07,bias,0.08963843668644522
hotel_98,2023-04-07,bias,0.09795368465175942
hotel_0,2023-05-05,bias,0.07892539747767924
hotel_105,2023-05-05,bias,-0.16749742522878938
hotel_112,2023-05-05,bias,-0.1244050195266225
hotel_126,2023-05-05,bias,-0.036764164886661045
hotel_133,2023-05-05,bias,-0.025095558529547805
hotel_14,2023-05-05,bias,0.12905980649338653
hotel_21,2023-05-05,bias,-0.011358236544861653
hotel_28,2023-05-05,bias,0.0039301582924801
hotel_35,2023-05-05,bias,0.06657431929620529
hotel_42,2023-05-05,bias,0.0781829551372822
hotel_49,2023-05-05,bias,0.10797878195994713
hotel_56,2023-05-05,bias,0.04924296803188033
hotel_63,2023-05-05,bias,-0.03357717776891615
hotel_7,2023-05-05,bias,0.05317462624181742
hotel_70,2023-05-05,bias,-0.06593450696462894
hotel_77,2023-05-05,bias,0.0039301582924801
hotel_84,2023-05-05,bias,-0.0738378892886139
hotel_91,2023-05-05,bias,-0.18301711124654935
hotel_98,2023-05-05,bias,0.1290940932929553
hotel_0,2023-01-13,mae,0.2724223223581453
