unique_id,metric,best_model
hotel_0,bias,AutoETS
hotel_105,bias,AutoARIMA
hotel_112,bias,Naive
hotel_126,bias,AutoETS
hotel_133,bias,AutoARIMA
hotel_14,bias,AutoETS
hotel_21,bias,SeasonalNaive
hotel_28,bias,NBEATS
hotel_35,bias,AutoARIMA
hotel_42,bias,AutoETS
hotel_49,bias,SeasonalNaive
hotel_56,bias,LGBMRegressor
hotel_63,bias,AutoETS
hotel_7,bias,AutoARIMA
hotel_70,bias,NHITS
hotel_77,bias,
hotel_84,bias,SeasonalNaive
hotel_91,bias,LGBMRegressor
hotel_98,bias,AutoETS
hotel_0,mae,LGBMRegressor
hotel_105,mae,Naive
hotel_112,mae,NBEATS
hotel_126,mae,Naive
hotel_133,mae,Naive
hotel_14,mae,AutoARIMA
hotel_21,mae,Naive
hotel_28,mae,Naive
hotel_35,mae,LGBMRegressor
hotel_42,mae,LGBMRegressor
hotel_49,mae,AutoETS
hotel_56,mae,NHITS
hotel_63,mae,NBEATS
hotel_7,mae,AutoARIMA
hotel_70,mae,AutoARIMA
hotel_77,mae,
hotel_84,mae,Naive
hotel_91,mae,NBEATS
hotel_98,mae,NBEATS
hotel_0,rmse,LGBMRegressor
hotel_105,rmse,Naive
hotel_112,rmse,NBEATS
hotel_126,rmse,Naive
hotel_133,rmse,LGBMRegressor
hotel_14,rmse,AutoARIMA
hotel_21,rmse,Naive
hotel_28,rmse,LGBMRegressor
hotel_35,rmse,LGBMRegressor
hotel_42,rmse,LGBMRegressor
hotel_49,rmse,AutoETS
hotel_56,rmse,NHITS
hotel_63,rmse,NHITS
hotel_7,rmse,AutoARIMA
hotel_70,rmse,AutoARIMA
hotel_77,rmse,
hotel_84,rmse,Naive
hotel_91,rmse,NBEATS
hotel_98,rmse,NBEATS
hotel_0,mape,LGBMRegressor
hotel_105,mape,Naive
hotel_112,mape,AutoETS
hotel_126,mape,Naive
hotel_133,mape,Naive
hotel_14,mape,Naive
hotel_21,mape,Naive
hotel_28,mape,AutoETS
hotel_35,mape,LGBMRegressor
hotel_42,mape,LGBMRegressor
hotel_49,mape,AutoETS
hotel_56,mape,NHITS
hotel_63,mape,NBEATS
hotel_7,mape,AutoARIMA
hotel_70,mape,AutoARIMA
hotel_77,mape,
hotel_84,mape,Naive
hotel_91,mape,LGBMRegressor
hotel_98,mape,SeasonalNaive
